"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","17210887","Atp6v1h","108664","ATPase, H+ transporting, lysosomal V1 subunit H",-0.420291808145414,7.89733033545432,-2.11483063059236,0.0574905028931228,0.255380661219599,-4.49656810275035
"2","17210984","Pcmtd1","319263","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1",0.0485219238034134,8.66351715583246,0.291828274637045,0.775717476424475,0.897583816198987,-6.44742929669959
"3","17211000","Rrs1","59014","ribosome biogenesis regulator 1",-0.142504340479936,5.52935197275634,-0.428912217203932,0.676067497380867,0.846219497871443,-6.39548979211413
"4","17211131","Prex2","109294","phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2",0.114047089843023,8.78830145129257,0.70403441696434,0.495695177247009,0.733813043082003,-6.23458450004931
"5","17211174","A830018L16Rik","320492","RIKEN cDNA A830018L16 gene",-1.45401576042542,5.09580817057072,-4.36918149305095,0.00105620620337663,0.0385644069867029,-0.641511791184882
"6","17211258","Rdh10","98711","retinol dehydrogenase 10 (all-trans)",0.07179275736455,6.23830917614575,0.38755148869711,0.705564316994721,0.864278379108913,-6.41319050680754
"7","17211286","Ly96","17087","lymphocyte antigen 96",-0.652572650337731,8.43903441373474,-1.63336044618481,0.129982369132869,0.383983436787184,-5.22165580571765
"8","17211396","Tmem14a","75712","transmembrane protein 14A",-0.384409905135747,3.49858401007631,-1.34051053606074,0.206464708635706,0.487504209507338,-5.60689901437341
"9","17211405","Gsta3","14859","glutathione S-transferase, alpha 3",-0.377543294013221,4.86711900598082,-1.01722602049211,0.330377571507546,0.6049385659295,-5.96632826416155
"10","17211700","Imp4","27993","IMP4, U3 small nucleolar ribonucleoprotein",-0.11304829322447,8.60090331368295,-0.846045969817554,0.415122320499574,0.675659813849266,-6.12355504115209
"11","17211713","Ptpn18","19253","protein tyrosine phosphatase, non-receptor type 18",0.108939625521645,4.54839030979131,0.519917980599351,0.613175890269864,0.808706924983346,-6.35047043970037
"12","17211774","Plekhb2","226971","pleckstrin homology domain containing, family B (evectins) member 2",-0.381592242964222,7.28708916065476,-2.22070539681755,0.0477407918238974,0.233746411644724,-4.32579042529627
"13","17211790","Hs6st1","50785","heparan sulfate 6-O-sulfotransferase 1",0.743175683332537,7.71911374788877,3.59344079998065,0.00405973174193066,0.070900362879985,-1.96411146689331
"14","17211795","Arid5a","214855","AT rich interactive domain 5A (MRF1-like)",1.05335745526349,4.73780688747631,2.19050678790371,0.0503485006877099,0.239656760341619,-4.37483228030506
"15","17211822","Cnnm4","94220","cyclin M4",0.0246865118241519,4.97763894160967,0.108081079469664,0.915830815716174,0.967928891381649,-6.48635884235574
"16","17211832","Cnnm3","94218","cyclin M3",-0.140782758631742,5.67686230727688,-0.927647732527127,0.373022602662088,0.641522810523057,-6.05168379036944
"17","17211850","Cox5b","12859","cytochrome c oxidase subunit 5B",-0.822288969226225,4.91606663458306,-3.40060390496985,0.00572596608379899,0.0832210798781271,-2.30013357922056
"18","17211857","4933424G06Rik","71166","RIKEN cDNA 4933424G06 gene",0.0202508491837212,2.09012022973523,0.0609097162186338,0.952497415779523,0.979823831933995,-6.49059758563609
"19","17211867","Zap70","22637","zeta-chain (TCR) associated protein kinase",-0.220410334168869,2.75015709477082,-0.94351553414908,0.365196428765237,0.636069230358449,-6.03704866720761
"20","17211990","Lipt1","623661","lipoyltransferase 1",0.0025850177936082,5.84482574712625,0.0133055281709965,0.989616564327096,0.996038781680056,-6.49247716367011
"21","17212018","Eif5b","226982","eukaryotic translation initiation factor 5B",-0.0706509147383949,6.16688809896978,-0.473900385431895,0.644615365122451,0.829919760557566,-6.37427102243652
"22","17212087","Npas2","18143","neuronal PAS domain protein 2",-0.252867299912133,4.33277556010315,-1.16319832499978,0.268776054446082,0.55535921808942,-5.813540016657
"23","17212174","Il1r2","16178","interleukin 1 receptor, type II",0.618873089174683,3.56702957848417,1.79915787052876,0.0987876306720195,0.334770986114348,-4.98304556993242
"24","17212185","Il1r1","16177","interleukin 1 receptor, type I",0.262075197366663,6.86150618329913,0.7525975007154,0.467114453410692,0.713359180572105,-6.1986750525512
"25","17212199","Il1rl2","107527","interleukin 1 receptor-like 2",0.060054118894481,5.21823996002505,0.260599993518238,0.799099280987217,0.91259760744456,-6.45654558825723
"26","17212286","Slc9a2","226999","solute carrier family 9 (sodium/hydrogen exchanger), member 2",0.610870577321937,1.9476399382376,2.03378215164085,0.0661943610690025,0.273171491441204,-4.62495387555899
"27","17212346","AI597479","98404","expressed sequence AI597479",-0.805292820865049,5.5604986102752,-3.95848687980207,0.00213658012157448,0.0528671147437519,-1.3344731155476
